,TTF_Price,Avg_Temp_C,HDD,Predicted_Price,Residuals
2023-09-10,34.507999420166016,23.8,0.0,65.09007233479805,-30.582072914632036
2023-09-11,35.847999572753906,21.5,0.0,65.09007233479805,-29.242072762044145
2023-09-12,34.70100021362305,19.6,0.0,65.09007233479805,-30.389072121175005
2023-09-13,36.81700134277344,16.7,1.3000000000000007,64.3300605759496,-27.513059233176165
2023-09-14,35.520999908447266,15.6,2.4000000000000004,63.68697370307784,-28.165973794630574
2023-09-15,36.483001708984375,16.5,1.5,64.21313568997292,-27.73013398098854
2023-09-16,36.483001708984375,18.0,0.0,65.09007233479805,-28.607070625813677
2023-09-17,36.483001708984375,18.2,0.0,65.09007233479805,-28.607070625813677
2023-09-18,34.474998474121094,18.3,0.0,65.09007233479805,-30.615073860676958
2023-09-19,36.78200149536133,16.6,1.3999999999999986,64.27159813296126,-27.48959663759993
2023-09-20,37.284000396728516,18.7,0.0,65.09007233479805,-27.806071938069536
2023-09-21,39.10499954223633,16.3,1.6999999999999993,64.09621080399624,-24.991211261759915
2023-09-22,39.79100036621094,13.2,4.800000000000001,62.28387507135763,-22.49287470514669
2023-09-23,39.79100036621094,13.3,4.699999999999999,62.34233751434597,-22.551337148135033
2023-09-24,39.79100036621094,14.6,3.4000000000000004,63.10234927319442,-23.311348906983483
2023-09-25,44.44200134277344,16.1,1.8999999999999986,63.97928591801955,-19.53728457524611
2023-09-26,40.321998596191406,16.9,1.1000000000000014,64.44698546192629,-24.124986865734883
2023-09-27,39.29600143432617,18.2,0.0,65.09007233479805,-25.79407090047188
2023-09-28,39.736000061035156,17.6,0.3999999999999986,64.85622256284468,-25.120222501809522
2023-09-29,41.85900115966797,16.3,1.6999999999999993,64.09621080399624,-22.237209644328274
2023-09-30,41.85900115966797,15.3,2.6999999999999993,63.51158637411282,-21.652585214444848
2023-10-01,41.85900115966797,17.4,0.6000000000000014,64.73929767686799,-22.880296517200023
